STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AZ,Azerbaijan,2015,,75.3,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AZ,Azerbaijan,2017,,75.6,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AZ,Azerbaijan,2018,,76.0,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,AZ,Azerbaijan,2019,,76.6,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BE,Belgium,2013,,80.7,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BE,Belgium,2014,,81.1,,b,break in time series,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BE,Belgium,2015,,80.9,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BE,Belgium,2016,,81.3,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BE,Belgium,2017,,81.4,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BE,Belgium,2018,,81.5,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BE,Belgium,2019,,81.8,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BE,Belgium,2020,,80.8,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BE,Belgium,2021,,81.7,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BE,Belgium,2022,,81.7,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BE,Belgium,2023,,82.3,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BE,Belgium,2024,,82.4,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BG,Bulgaria,2013,,74.9,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BG,Bulgaria,2014,,74.4,,b,break in time series,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BG,Bulgaria,2015,,74.5,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BG,Bulgaria,2016,,74.7,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BG,Bulgaria,2017,,74.6,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BG,Bulgaria,2018,,74.7,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BG,Bulgaria,2019,,74.8,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BG,Bulgaria,2020,,73.3,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BG,Bulgaria,2021,,71.2,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BG,Bulgaria,2022,,74.1,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BG,Bulgaria,2023,,75.7,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BG,Bulgaria,2024,,75.8,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BY,Belarus,2013,,72.7,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BY,Belarus,2014,,73.3,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BY,Belarus,2015,,74.0,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BY,Belarus,2016,,74.2,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BY,Belarus,2017,,74.5,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,BY,Belarus,2018,,74.5,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,CH,Switzerland,2013,,82.9,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,CH,Switzerland,2014,,83.1,,b,break in time series,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,CH,Switzerland,2015,,82.9,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,CH,Switzerland,2016,,83.4,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,CH,Switzerland,2017,,83.4,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,CH,Switzerland,2018,,83.6,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,CH,Switzerland,2019,,83.8,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,CH,Switzerland,2020,,83.1,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,CH,Switzerland,2021,,83.6,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,CH,Switzerland,2022,,83.5,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,CH,Switzerland,2023,,84.1,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,CH,Switzerland,2024,,84.2,,,,,
dataflow,ESTAT:TPS00205(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,T,Total,Y_LT1,Less than 1 year,CY,Cyprus,2013,,82.5,,,,,
